0856	Stigtomta	Nyköping	0480		179	1 948	1 087		179	1 942	1 084		0	-6				
0860	Stjärnhov	Gnesta	0461		97	588	609		97	549	568		0	-39				
0864	Strångsjö	Katrineholm	0483		59	370	626		59	365	617		0	-5				
0868	Strängnäs	Strängnäs	0486	1	601	12 296	2 045		653	12 856	1 968		52	560				
0898	Sund	Trosa	0488		115	330	286		115	329	285		0	-1				
0870	Sundbyholm	Eskilstuna	0484	1	62	330	536		75	485	643		14	155				
0876	Svalsta	Nyköping	0480		72	1 020	1 419		77	1 078	1 402		5	58				
0880	Torshälla	Eskilstuna	0484	1	555	7 614	1 372		564	7 612	1 350		9	-2				
0882	Torshälla huvud	Eskilstuna	0484		137	399	292		139	492	355		2	93				
0884	Trosa	Trosa	0488		336	4 633	1 378		360	5 027	1 396		24	394				
0886	Tumbo	Eskilstuna	0484		52	295	562		53	292	554		0	-3				
0888	Tystberga	Nyköping	0480		92	844	914		92	828	897		0	-16				
0896	Vagnhärad	Trosa	0488	1	286	3 221	1 126		291	3 324	1 144		4	103				
0900	Valla	Katrineholm	0483		133	1 584	1 187		133	1 517	1 137		0	-67				
0902	Vansö kyrkby 2)	Strängnäs	0486						21	202	958							
0904	Vingåker	Vingåker	0428	1	387	4 362	1 128		387	4 282	1 107		0	-80				
0908	Vrena	Nyköping	0480	1	97	665	684		97	626	644		0	-39				
0910	Västerljung	Trosa	0488		34	372	1 090		36	398	1 119		1	26				
0726	Västra Borsökna 9)	Eskilstuna	0484		95	482	510				 							
0912	Åkers styckebruk	Strängnäs	0486	1	299	2 742	918		303	2 891	955		4	149				
0916	Ålberga	Nyköping	0480		45	271	600		45	247	547		0	-24				
0918	Ängsholmen 	Eskilstuna	0484						59	222	378							
0920	Ärla	Eskilstuna	0484	1	140	1 281	913		140	1 270	904		0	-11				
0924	Äsköping	Katrineholm	0483		46	371	809		46	342	746		0	-29				
1004	Askeby	Linköping	0580		47	452	952		49	518	1 053		2	66
1008	Bankekind	Linköping	0580	1	30	397	1 334		30	405	1 360		0	8				
1012	Berg	Åtvidaberg	0561	1	54	337	629		54	311	581		0	-26				
1016	Berg	Linköping	0580		109	1 229	1 124		109	1 278	1 169		0	49				
1020	Bestorp	Linköping	0580		52	449	860		53	475	890		1	26				
1024	Björsäter	Åtvidaberg	0561		63	437	699		63	443	708		0	6				
1028	Borensberg	Motala	0583		231	2 712	1 175		240	2 886	1 201		10	174				
1032	Borggård	Finspång	0562	1	42	252	596		42	238	563		0	-14				
1036	Borghamn	Vadstena	0584		75	227	303				 							
1040	Boxholm	Boxholm	0560		439	3 182	724		439	3 194	727		0	12				
1044	Brokind	Linköping	0580		64	526	817		64	502	780		0	-24				
1206	Butbro	Finspång	0562		46	215	470		46	261	571		0	46				
1046	Eksund	Norrköping	0581						22	206	927							
1050	Ekängen	Linköping	0580		96	1 100	1 148		139	2 037	1 465		43	937				
1054	Ensjön	Norrköping	0581		23	320	1 401		23	333	1 458		0	13				
1048	Falerum	Åtvidaberg	0561		84	304	361		84	242	287		0	-62				
1052	Falla	Finspång	0562		71	463	651		71	467	654		0	4				
1056	Finspång	Finspång	0562		796	12 415	1 559		818	12 440	1 521		22	25				
1060	Fornåsa	Motala	0583		47	454	962		47	433	917		0	-21				
1064	Fågelsta	Motala	0583		55	316	573		55	287	520		0	-29				
1068	Gistad	Linköping	0580		42	285	684		43	288	669		1	3				
1070	Godegård	Motala	0583	1	26	202	780		26	200	772		0	-2				
1074	Graversfors	Norrköping	0581						64	246	383							
1072	Grebo	Åtvidaberg	0561		65	979	1 508		72	970	1 346		7	-9				
1080	Grytgöl	Finspång	0562		72	301	419		72	263	366		0	-38				
1084	Gusum	Valdemarsvik	0563		162	1 211	749		162	1 175	727		0	-36				
1088	Herstadberg	Norrköping	0581		36	257	719		36	236	661		0	-21				
1092	Hestra	Ydre	0512		70	490	704		70	476	684		0	-14				
1096	Hogstad	Mjölby	0586		42	254	607		42	241	576		0	-13				
1100	Horn	Kinda	0513		79	547	688		79	495	623		0	-52				
1104	Hällestad	Finspång	0562		99	357	359		99	336	338		0	-21				
1108	Hästholmen	Ödeshög	0509	1	36	372	1 042		37	342	929		1	-30				
1116	Igelfors	Finspång	0562		64	231	359		64	214	332		0	-17				
1120	Jursla	Norrköping	0581		126	1 647	1 308		126	1 692	1 344		0	45				
1128	Kimstad	Norrköping	0581		144	1 492	1 037		144	1 510	1 050		0	18				
1132	Kisa	Kinda	0513	1	401	3 697	922		403	3 687	916		2	-10				
1136	Klockrike	Motala	0583		52	281	545		52	272	527		0	-9				
1140	Krokek	Norrköping	0581	1	421	4 156	987		424	4 285	1 009		3	129				
1144	Lindö	Norrköping	0581		291	4 842	1 662		320	4 915	1 537		29	73				
1148	Linghem	Linköping	0580		163	2 484	1 520		175	2 804	1 606		11	320				
1152	Linköping	Linköping	0580	1	4 131	97 428	2 358		4 216	104 232	2 472		84	6 804				
1156	Ljunga	Norrköping	0581		68	722	1 055		68	688	1 006		0	-34				
1160	Ljungsbro	Linköping	0580		411	6 510	1 585		421	6 620	1 573		10	110				
1164	Ljusfallshammar	Finspång	0562		65	318	486		65	327	499		0	9				
1168	Lotorp	Finspång	0562		96	715	745		96	701	731		0	-14				
1172	Malmslätt	Linköping	0580	1	263	5 358	2 040		263	5 214	1 985		0	-144				
1176	Mantorp	Mjölby	0586	1	308	3 332	1 080		335	3 671	1 096		26	339				
1180	Mjölby	Mjölby	0586	1	835	11 927	1 428		845	12 245	1 448		10	318				
1184	Mogata	Söderköping	0582		36	308	850		36	301	831		0	-7				
1188	Motala	Motala	0583	1	1 910	29 798	1 560		1 929	29 823	1 546		19	25				
1192	Norrköping	Norrköping	0581	1	3 498	83 561	2 389		3 568	87 247	2 446		70	3 686				
1196	Norsholm	Norrköping	0581		78	573	734		80	615	769		2	42				
1200	Nykil	Linköping	0580		37	313	851		37	321	873		0	8				
1204	Nykyrka	Motala	0583		50	419	842		50	414	832		0	-5				
1212	Rappestad	Linköping	0580		32	249	774		33	235	717		1	-14				
1216	Rejmyre	Finspång	0562		115	899	783		115	900	784		0	1				
1220	Rimforsa	Kinda	0513	1	202	2 183	1 079		213	2 238	1 053		10	55				
1224	Ringarum	Valdemarsvik	0563	1	92	609	660		92	577	625		0	-32				
1228	Rydsnäs	Ydre	0512		74	304	409		75	277	371		0	-27				
1232	Simonstorp	Norrköping	0581		51	236	462		51	258	505		0	22				
1236	Sjögestad	Linköping	0580		41	295	713		41	300	725		0	5				
1238	Skeda udde	Linköping	0580		30	253	846		37	283	772		7	30				
1242	Skriketorp 	Norrköping	0581						32	246	772							
1244	Skänninge	Mjölby	0586	1	276	3 242	1 175		276	3 140	1 138		0	-102				
1248	Skärblacka	Norrköping	0581		389	4 048	1 040		389	4 059	1 043		0	11				
1252	Slaka	Linköping	0580		112	539	482		112	592	529		0	53				
1170	Snöveltorp	Söderköping	0582		52	299	576		61	333	549		9	34				
1256	Sonstorp	Finspång	0562	1	57	472	822		57	429	747		0	-43				
1260	Spångsholm	Mjölby	0586		67	411	614		67	408	610		0	-3				
0996	Strandhugget 2)	Norrköping	0581						23	261	1 138							
1264	Strålsnäs	Boxholm	0560		64	446	699		64	410	643		0	-36				
1268	Strömsfors	Norrköping	0581		82	525	643		82	528	647		0	3				
1272	Sturefors	Linköping	0580	1	103	2 231	2 173		105	2 229	2 123		2	-2				
1276	Svärtinge	Norrköping	0581		371	2 410	650		386	2 963	768		15	553				
1280	Sya	Mjölby	0586		36	287	797		36	306	850		0	19				
1284	Söderköping	Söderköping	0582	1	395	6 951	1 759		402	6 992	1 738		7	41				
1292	Tjällmo	Motala	0583	1	71	578	813		71	557	783		0	-21				
1296	Ulrika	Linköping	0580						37	200	542							
1300	Vadstena	Vadstena	0584		338	5 612	1 662		341	5 613	1 645		4	1				
1304	Valdemarsvik	Valdemarsvik	0563	1	288	2 885	1 003		289	2 772	959		1	-113				
1308	Vikingstad	Linköping	0580		152	2 072	1 366		161	2 096	1 302		9	24				
1310	Vånga	Norrköping	0581	1	31	230	741		31	220	709		0	-10				
